IP,HTTP Check,Xray Check 
132.226.210.122,400,204 
132.226.114.74,400,204 
132.226.128.2,400,204 
132.226.213.1,400,204 
150.230.238.226,400,204 
150.230.250.198,400,204 
144.22.252.124,400,204 
130.61.222.184,400,204 
150.136.240.243,400,204 
150.136.216.115,400,204 
150.230.7.216,000,Skipped 
64.110.77.182,400,204 
64.110.67.19,400,204 
138.3.253.254,400,204 
131.186.45.248,400,204 
132.145.15.181,400,204 
131.186.36.3,000,Skipped 
132.145.14.158,400,204 
131.186.33.175,400,204 
141.148.235.167,400,204 
141.148.227.19,400,204 
141.148.236.85,400,204 
141.148.229.106,400,204 
141.148.241.74,400,204 
130.61.23.77,400,204 
129.146.220.190,400,204 
129.146.243.241,400,204 
129.146.254.39,400,204 
138.2.155.22,400,204 
138.2.173.101,400,204 
138.2.162.240,000,Skipped 
138.2.161.0,400,204 
129.150.50.63,400,204 
129.150.51.134,400,204 
138.2.134.85,400,204 
138.2.84.189,400,204 
138.2.145.241,400,204 
138.2.123.70,400,204 
144.24.183.100,400,204 
144.24.182.20,400,204 
129.159.194.233,400,204 
144.21.36.18,400,204 
144.21.56.214,400,403 
144.21.40.53,000,Skipped 
144.21.36.229,000,Skipped 
144.21.36.73,400,204 
144.21.58.169,400,204 
144.21.60.40,400,204 
158.101.220.103,400,204 
158.180.86.122,400,204 
129.153.87.71,000,Skipped 
132.226.7.217,000,Skipped 
193.123.60.146,400,204 
193.123.62.236,400,403 
193.123.56.127,400,204 
193.123.57.223,400,204 
140.84.179.114,400,403 
140.238.120.96,400,204 
152.70.181.165,400,204 
152.70.155.147,400,204 
152.70.88.98,400,204 
152.70.98.34,400,204 
158.180.231.216,000,Skipped 
158.180.228.226,000,Skipped 
164.152.17.14,000,Skipped 
146.56.101.141,400,204 
146.56.129.83,400,204 
146.56.117.62,400,204 
146.56.153.182,400,204 
146.56.176.143,000,Skipped 
129.151.254.48,400,204 
138.2.1.198,400,204 
138.2.20.83,400,204 
138.2.12.38,000,Skipped 
130.162.180.32,400,204 
130.162.228.90,400,403 
130.162.184.232,400,204 
130.162.173.72,400,204 
130.162.191.82,400,204 
130.162.246.112,400,204 
130.162.171.141,000,Skipped 
130.162.174.18,400,204 
130.162.178.209,400,204 
130.162.190.0,400,204 
130.162.250.180,400,204 
130.162.220.81,400,204 
130.162.228.218,400,204 
130.162.234.7,400,204 
130.162.170.239,400,204 
130.162.236.59,400,204 
130.162.211.113,000,Skipped 
